"rgn_id","sciname","popn_trend"
1,"Alopias vulpinus","Decreasing"
2,"Alopias vulpinus","Decreasing"
6,"Alopias vulpinus","Decreasing"
1,"Anadara tuberculosa","Unknown"
2,"Anadara tuberculosa","Unknown"
6,"Anadara tuberculosa","Unknown"
1,"Balaenoptera musculus","Increasing"
2,"Balaenoptera musculus","Increasing"
6,"Balaenoptera musculus","Increasing"
1,"Cetorhinus maximus","Decreasing"
2,"Cetorhinus maximus","Decreasing"
6,"Cetorhinus maximus","Decreasing"
1,"Chelonia mydas","Decreasing"
2,"Chelonia mydas","Decreasing"
6,"Chelonia mydas","Decreasing"
1,"Crocodylus acutus","Increasing"
2,"Crocodylus acutus","Increasing"
6,"Crocodylus acutus","Increasing"
1,"Dermochelys coriacea","Decreasing"
2,"Dermochelys coriacea","Decreasing"
6,"Dermochelys coriacea","Decreasing"
1,"Eretmochelys imbricata","Decreasing"
2,"Eretmochelys imbricata","Decreasing"
6,"Eretmochelys imbricata","Decreasing"
1,"Fregata magnificens","Increasing"
2,"Fregata magnificens","Increasing"
6,"Fregata magnificens","Increasing"
1,"Hippocampus ingens","Decreasing"
2,"Hippocampus ingens","Decreasing"
6,"Hippocampus ingens","Decreasing"
1,"Isurus oxyrinchus","Decreasing"
2,"Isurus oxyrinchus","Decreasing"
6,"Isurus oxyrinchus","Decreasing"
1,"Lepidochelys olivacea","Decreasing"
2,"Lepidochelys olivacea","Decreasing"
6,"Lepidochelys olivacea","Decreasing"
1,"Megaptera novaeangliae","Increasing"
2,"Megaptera novaeangliae","Increasing"
6,"Megaptera novaeangliae","Increasing"
1,"Otaria byronia","Stable"
2,"Otaria byronia","Stable"
6,"Otaria byronia","Stable"
1,"Pelecanus occidentalis","Increasing"
2,"Pelecanus occidentalis","Increasing"
6,"Pelecanus occidentalis","Increasing"
1,"Phoebastria irrorata","Decreasing"
2,"Phoebastria irrorata","Decreasing"
6,"Phoebastria irrorata","Decreasing"
1,"Phoenicopterus chilensis","Decreasing"
2,"Phoenicopterus chilensis","Decreasing"
6,"Phoenicopterus chilensis","Decreasing"
1,"Platalea ajaja","Stable"
2,"Platalea ajaja","Stable"
6,"Platalea ajaja","Stable"
1,"Prionace glauca","Unknown"
2,"Prionace glauca","Unknown"
6,"Prionace glauca","Unknown"
1,"Rhincodon typus","Decreasing"
2,"Rhincodon typus","Decreasing"
6,"Rhincodon typus","Decreasing"
1,"Sula nebouxii","Stable"
2,"Sula nebouxii","Stable"
6,"Sula nebouxii","Stable"
1,"Tursiops truncatus","Unknown"
2,"Tursiops truncatus","Unknown"
6,"Tursiops truncatus","Unknown"
1,"Ucides occidentalis","Increasing"
2,"Ucides occidentalis","Increasing"
6,"Ucides occidentalis","Increasing"
