" ","score","status","future"
"Index",61.94,,57.28
"Food Provision",38.39,37.23,39.55
". Fisheries",9.47,9.37,9.57
". Mariculture",65.3,63.19,67.41
"Artisanal Fishing Opportunity",50.74,49.11,52.37
"Natural Products",64.24,56.44,72.04
"Carbon Storage",58.1,83.58,32.61
"Coastal Protection",58.22,83.58,32.87
"Tourism & Recreation",61.62,46.65,76.59
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",60.88,61.52,60.25
". Iconic Species",68.13,70,66.26
". Lasting Special Places",53.64,53.04,54.24
"Clean Waters",53.93,63.94,43.91
"Biodiversity",71.9,87.84,55.95
". Habitats",53.94,79.18,28.7
". Species",89.85,96.51,83.2
