" ","score","status","future","trend","pressures","resilience"
"Index",65.3,,66.72,,,
"Food Provision",17.3,16.11,18.49,0.08,,
". Fisheries",2.02,2,2.05,0,42.53,49.7
". Mariculture",31.98,29.67,34.28,0.15,43.16,59.79
"Artisanal Fishing Opportunity",69.7,67.24,72.17,0.01,39.36,59.26
"Natural Products",69.86,60.96,78.77,0.34,40.17,60.59
"Carbon Storage",,,,,35.45,56.01
"Coastal Protection",,,,,34.9,56.01
"Tourism & Recreation",63.22,47.86,78.58,1,62.16,53.59
"Coastal Livelihoods & Economies",100,100,100,0.5,,
". Livelihoods",100,100,100,0,37.65,54.15
". Economies",100,100,100,1,39.6,42.8
"Sense of Place",60.3,60.57,60.03,-0.05,,
". Iconic Species",68.76,70,67.51,-0.11,42.83,53.44
". Lasting Special Places",51.84,51.15,52.54,0,50.05,58.28
"Clean Waters",74.09,76.54,71.64,0.05,82.16,53.59
"Biodiversity",67.93,81.78,54.08,-0.6,,
". Habitats",45.98,67.06,24.9,-1,41.51,54.05
". Species",89.88,96.51,83.26,-0.19,52.22,50.06
